Tempo_�s,Ciclo_CPU,Referencia_Motor,Vel_Real
23961780.0,48.07,1400.0,1200.0
23992012.0,48.07,1400.0,1457.0
24022100.0,48.07,1400.0,1457.0
24052420.0,47.93,1400.0,1834.0
24082420.0,47.93,1400.0,1834.0
24112648.0,47.93,1400.0,1542.0
24142740.0,47.93,1400.0,1542.0
24173060.0,47.79,1400.0,1182.0
24203060.0,47.79,1400.0,1182.0
24233292.0,47.79,1400.0,1234.0
24263380.0,47.79,1400.0,1234.0
24293700.0,48.02,1400.0,1302.0
24323700.0,48.02,1400.0,1302.0
24353932.0,48.02,1400.0,1182.0
24384020.0,48.02,1400.0,1182.0
24414344.0,48.21,1400.0,1611.0
24444340.0,48.21,1400.0,1611.0
24474572.0,48.21,1400.0,1422.0
24504660.0,48.21,1400.0,1422.0
24534980.0,48.11,1400.0,1234.0
24564980.0,48.11,1400.0,1234.0
24595212.0,48.11,1400.0,1800.0
24625300.0,48.11,1400.0,1800.0
24655620.0,47.67,1400.0,1251.0
24685620.0,47.67,1400.0,1251.0
24715852.0,47.67,1400.0,1645.0
24745940.0,47.67,1400.0,1645.0
24776256.0,47.53,1400.0,1268.0
24806260.0,47.53,1400.0,1268.0
24836492.0,47.53,1400.0,1182.0
24866580.0,47.53,1400.0,1182.0
24896896.0,47.86,1400.0,1422.0
24926900.0,47.86,1400.0,1422.0
24957132.0,47.86,1400.0,1577.0
24987220.0,47.86,1400.0,1577.0
25017544.0,47.59,1400.0,1182.0
25047540.0,47.59,1400.0,1182.0
25077776.0,47.59,1400.0,1182.0
25107860.0,47.59,1400.0,1182.0
25138184.0,47.89,1400.0,1645.0
25168180.0,47.89,1400.0,1645.0
25198412.0,47.89,1400.0,1182.0
25228500.0,47.89,1400.0,1182.0
25258816.0,48.06,1400.0,1182.0
25288820.0,48.06,1400.0,1182.0
25319052.0,48.06,1400.0,1182.0
25349144.0,48.06,1400.0,1182.0
25379452.0,48.23,1400.0,1800.0
25409460.0,48.23,1400.0,1800.0
25439692.0,48.23,1400.0,1559.0
25469780.0,48.23,1400.0,1559.0
25500096.0,47.98,1400.0,1285.0
25530100.0,47.98,1400.0,1285.0
25560332.0,47.98,1400.0,1731.0
25590420.0,47.98,1400.0,1731.0
25620748.0,47.67,1400.0,1182.0
25650740.0,47.67,1400.0,1182.0
25680976.0,47.67,1400.0,1182.0
25711060.0,47.67,1400.0,1182.0
25741380.0,48.02,1400.0,1354.0
25771380.0,48.02,1400.0,1354.0
25801608.0,48.02,1400.0,1217.0
25831700.0,48.02,1400.0,1217.0
25862020.0,48.15,1400.0,1679.0
25892020.0,48.15,1400.0,1679.0
25922248.0,48.15,1400.0,1594.0
25952340.0,48.15,1400.0,1594.0
25982656.0,47.87,1400.0,1285.0
26012660.0,47.87,1400.0,1285.0
26042892.0,47.87,1400.0,1782.0
26072980.0,47.87,1400.0,1782.0
26103304.0,47.51,1400.0,1234.0
26133300.0,47.51,1400.0,1234.0
26163532.0,47.51,1400.0,1182.0
26193620.0,47.51,1400.0,1182.0
26223936.0,47.88,1400.0,1422.0
26253940.0,47.88,1400.0,1422.0
26284168.0,47.88,1400.0,1217.0
26314260.0,47.88,1400.0,1217.0
26344584.0,48.02,1400.0,1182.0
26374580.0,48.02,1400.0,1182.0
26404812.0,48.02,1400.0,1337.0
